Time,Temp_305083,Temp_307075,Temp_605083,Temp_607075
2.0471,767.8709,1185.003,1249.363,1467.849
2.0472,762.6687,1174.412,1239.178,1454.4379999999999
2.0473,757.8551,1164.303,1228.944,1441.036
2.0474,753.0453,1154.412,1218.701,1427.6870000000001
2.0475,748.363,1144.396,1208.513,1414.4720000000002
2.0476,743.741,1134.415,1198.391,1401.391
2.0477,739.1962,1124.493,1188.364,1388.4920000000002
2.0478,734.7193,1114.694,1178.539,1375.9520000000002
2.0479,730.257,1105.0339999999999,1169.164,1364.219
2.048,725.8488,1095.528,1160.255,1352.965
2.0481,721.5214,1086.195,1151.376,1341.547
2.0482,717.4822,1077.108,1142.4260000000002,1330.1
2.0483,713.5286,1068.2269999999999,1133.598,1318.7420000000002
2.0484,709.5195,1059.548,1124.851,1307.486
2.0485,705.545,1051.094,1116.224,1296.381
2.0486,701.5343,1042.868,1107.732,1285.4389999999999
2.0487,697.5561,1034.888,1099.397,1274.685
2.0488,693.6555,1027.15,1091.221,1264.126
2.0489,689.8566,1019.671,1083.223,1253.789
2.049,686.1535,1012.456,1075.411,1243.6680000000001
2.0491,682.5246,1005.5219999999999,1067.797,1233.77
2.0492,678.9744,998.8731,1060.384,1224.108
