x,SD
0.00600176,1266009576.4
0.00600176,1265465533.2
0.00601041,1448567567.9
0.00603515,1229010266.8
0.00606033,1171060149.0
0.00608372,1138297658.3
0.00610757,1131643373.9
0.00613224,1132989328.3
0.00615683,1140263365.4
0.00618178,1152466260.5
0.00620728,1170867678.5
0.00623339,1195806087.7
0.00626014,1221320596.8
0.00628761,1282988350.4
0.00631537,1338939415.0
0.0063435,1408092937.3
0.00637211,1496526039.9
0.00640086,1613590134.7
0.00643024,1786199768.9
0.00646024,2030573091.7
0.00649153,2733638927.3
0.00652602,2635717815.0
0.00656982,1987188285.8
0.00661912,1443976746.9
0.00666747,1690934096.8
0.00672284,1376149199.8
0.00677414,1502007283.4
0.00683987,1605372676.5
0.00692918,1465676419.8
0.0069903,1415420958.5
0.00705151,1402721366.5
0.00711192,1400286755.3
0.00717342,1415736984.2
0.0072346,1445467588.7
0.0072919,1415201637.4
0.00737463,1584267022.9
0.00744128,1566881018.7
0.00748709,1732241958.3
0.00753843,1974779664.4
0.00758823,2338357337.8
0.00762637,3308531682.7
0.00765654,2492868106.0
0.00768482,2027498159.4
0.007712,1778016792.4
0.00773799,1619320724.2
0.00776281,1510341401.0
0.00778664,1429356649.2
0.00780964,1367030790.4
0.00783193,1318387669.5
0.00785366,1280236456.3
0.00787493,1243094913.1
0.00789586,1219111166.5
0.00791651,1199616097.9
0.00793661,1186119953.5
0.00795615,1178169214.2
0.00797566,1176295833.5
0.00799566,1182638593.2
0.00801598,1197806964.9
0.00803328,1228610539.2
0.00803691,1514333381.3
0.00803691,1343606660.9
0.00804652,1290746834.4
0.0080504,1555041057.0
