!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!RINGBUCKEL WINKEL:30бу
!BLECH MATERIAL:7075
!DATUM:        2019-12-20
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

ZEIT	PULS	TMEP_OG	TMEP_AP
[S]	[A]	[K]	[K]
2.029	100.0	298.0	298.01
2.0291	9586.0	298.68	306.04
2.0292	17640.0	300.12	321.63
2.0293	25510.0	302.12	342.22
2.0294	32500.0	304.86	366.36
2.0295	39420.0	308.3	393.33
2.0296	45790.0	312.5	426.22
2.0297	52140.0	317.44	464.19
2.0298	58010.0	323.03	507.27
2.0299	63440.0	329.44	556.54
2.03	69140.0	336.45	611.76
2.0301	74450.0	343.27	670.89
2.0302	79220.0	350.13	734.01
2.0303	84020.0	357.54	800.47
2.0304	88750.0	365.27	856.66
2.0305	93000.0	373.57	888.79
2.0306	97620.0	382.42	907.73
2.0307	101900.0	391.55	921.54
2.0308	105500.0	401.24	929.88
2.0309	109600.0	411.35	941.54
2.031	113000.0	421.89	956.48
2.0311	116600.0	432.98	954.35
2.0312	120000.0	444.45	943.97
2.0313	123100.0	456.31	938.12
2.0314	126100.0	468.56	936.89
2.0315	128900.0	481.21	938.61
2.0316	131500.0	494.38	962.3
2.0317	134300.0	507.93	1000.35
2.0318	136600.0	521.7	1039.06
2.0319	138700.0	535.94	1071.56
2.032	141000.0	550.62	1118.73
2.0321	143100.0	565.45	1187.57
2.0322	144700.0	580.76	1247.45
2.0323	146800.0	596.46	1320.08
2.0324	148400.0	612.31	1401.76
2.0325	149800.0	628.47	1494.16
2.0326	151200.0	644.97	1581.1
2.0327	152500.0	661.72	1675.73
2.0328	153700.0	678.77	1778.24
2.0329	154900.0	695.96	1882.01
2.033	155700.0	713.1	1991.73
2.0331	156400.0	730.15	2102.79
2.0332	156900.0	747.19	2211.49
2.0333	157500.0	764.43	2327.76
2.0334	157900.0	781.84	2447.49
2.0335	158300.0	798.88	2563.66
2.0336	158100.0	815.27	2680.04
2.0337	158200.0	831.13	2795.66
2.0338	158000.0	846.79	2910.12
2.0339	157700.0	862.17	3024.49
2.034	157600.0	876.94	3136.93
2.0341	157400.0	890.83	3243.92
2.0342	157100.0	902.96	3343.92
2.0343	156500.0	915.71	3438.53
2.0344	155900.0	931.71	3533.79
2.0345	155600.0	952.66	3619.74
2.0346	154600.0	979.37	3699.64
2.0347	153900.0	1007.21	3778.46
2.0348	153100.0	1036.25	3852.6
2.0349	152300.0	1067.7	3920.22
2.035	151200.0	1100.67	3983.1
2.0351	150300.0	1136.34	4043.79
2.0352	149300.0	1171.8	4096.05
2.0353	147900.0	1207.67	4144.87
2.0354	146800.0	1243.1	4191.14
2.0355	145600.0	1277.94	4232.14
2.0356	144300.0	1312.68	4267.72
2.0357	142900.0	1345.24	4298.42
2.0358	141400.0	1375.66	4323.08
2.0359	139700.0	1404.93	4344.77
2.036	138300.0	1433.82	4362.85
2.0361	136700.0	1463.3	4376.36
2.0362	135100.0	1490.36	4386.73
2.0363	133500.0	1513.78	4391.5
2.0364	131600.0	1535.45	4393.15
2.0365	130000.0	1555.91	4390.25
2.0366	128000.0	1574.63	4383.42
2.0367	126200.0	1592.67	4375.34
2.0368	124500.0	1608.69	4363.57
2.0369	122600.0	1621.7	4346.3
2.037	120400.0	1633.66	4328.91
2.0371	118900.0	1643.54	4309.83
2.0372	116600.0	1651.21	4288.88
2.0373	114600.0	1658.42	4266.91
2.0374	112700.0	1663.79	4242.71
2.0375	110700.0	1667.17	4215.89
2.0376	108500.0	1668.55	4186.37
2.0377	106400.0	1668.67	4155.21
2.0378	104400.0	1667.11	4121.98
2.0379	102300.0	1664.18	4086.86
2.038	100200.0	1659.89	4049.91
2.0381	98060.0	1654.09	4010.65
2.0382	95710.0	1647.7	3969.87
2.0383	93720.0	1641.61	3927.74
2.0384	91400.0	1634.49	3884.43
2.0385	89440.0	1626.41	3840.24
2.0386	87160.0	1616.89	3794.2
2.0387	84770.0	1606.3	3746.93
