!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!RINGBUCKEL WINKEL:30бу
!BLECH MATERIAL:7075
!DATUM:        2019-12-20
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

ZEIT	PULS	TMEP_OG	TMEP_AP
2.0388	82530.0	1595.18	3698.89
2.0389	80350.0	1584.33	3649.98
2.039	78010.0	1574.06	3600.89
2.0391	76060.0	1564.3	3551.59
2.0392	73770.0	1554.46	3501.86
2.0393	71610.0	1544.74	3452.42
2.0394	69550.0	1534.57	3402.69
2.0395	67170.0	1524.0	3353.2
2.0396	65160.0	1512.86	3304.13
2.0397	62960.0	1501.29	3255.31
2.0398	60720.0	1489.42	3207.39
2.0399	58990.0	1477.13	3160.74
2.04	56500.0	1464.42	3114.89
2.0401	54540.0	1451.42	3069.37
2.0402	52360.0	1438.17	3024.23
2.0403	50450.0	1424.77	2979.75
2.0404	48460.0	1411.18	2935.58
2.0405	46160.0	1397.48	2892.03
2.0406	44200.0	1383.76	2849.26
2.0407	42020.0	1370.3	2807.79
2.0408	40250.0	1357.31	2768.38
2.0409	38360.0	1344.22	2730.49
2.041	36360.0	1330.93	2692.68
2.0411	34600.0	1317.63	2654.78
2.0412	32750.0	1304.3	2617.17
2.0413	30900.0	1291.02	2579.89
2.0414	28860.0	1277.79	2543.17
2.0415	27230.0	1264.66	2507.25
2.0416	25650.0	1251.64	2471.98
2.0417	23700.0	1238.77	2437.47
2.0418	21950.0	1226.1	2404.02
2.0419	20520.0	1213.66	2371.75
2.042	18740.0	1201.48	2340.53
2.0421	17190.0	1189.6	2310.58
2.0422	15600.0	1178.07	2282.3
2.0423	14080.0	1167.11	2256.68
2.0424	12520.0	1156.69	2232.8
2.0425	11030.0	1146.39	2208.71
2.0426	9609.0	1136.18	2184.64
2.0427	8349.0	1126.17	2161.04
2.0428	6931.0	1116.38	2137.93
2.0429	5500.0	1106.81	2115.47
2.043	4070.0	1097.49	2093.78
2.0431	2988.0	1088.43	2073.14
2.0432	1673.0	1079.63	2053.83
