!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!RINGBUCKEL WINKEL:60бу
!BLECH MATERIAL:7075
!DATUM:        2019-12-20
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

ZEIT	PULS	TMEP_OG	TMEP_AP
[S]	[A]	[K]	[K]
2.029	100.0	298.0	298.01
2.0291	9586.0	298.53	308.69
2.0292	17640.0	299.69	326.15
2.0293	25510.0	301.34	347.39
2.0294	32500.0	303.61	373.71
2.0295	39420.0	306.49	402.76
2.0296	45790.0	310.04	436.77
2.0297	52140.0	314.25	474.45
2.0298	58010.0	319.08	515.86
2.0299	63440.0	324.65	562.95
2.03	69140.0	330.97	614.89
2.0301	74450.0	337.58	669.04
2.0302	79220.0	344.03	727.12
2.0303	84020.0	350.58	788.61
2.0304	88750.0	357.54	850.06
2.0305	93000.0	364.93	909.43
2.0306	97620.0	372.8	943.53
2.0307	101900.0	380.98	944.16
2.0308	105500.0	389.41	938.29
2.0309	109600.0	398.41	921.81
2.031	113000.0	407.84	926.31
2.0311	116600.0	417.66	949.72
2.0312	120000.0	427.89	964.08
2.0313	123100.0	438.5	959.75
2.0314	126100.0	449.46	962.13
2.0315	128900.0	460.77	973.22
2.0316	131500.0	472.58	982.83
2.0317	134300.0	484.73	996.22
2.0318	136600.0	497.16	1014.95
2.0319	138700.0	510.01	1033.46
2.032	141000.0	523.27	1048.32
2.0321	143100.0	537.2	1076.73
2.0322	144700.0	551.72	1101.85
2.0323	146800.0	566.67	1144.95
2.0324	148400.0	581.89	1207.01
2.0325	149800.0	597.5	1274.24
2.0326	151200.0	613.51	1341.45
2.0327	152500.0	629.84	1416.38
2.0328	153700.0	646.48	1499.96
2.0329	154900.0	663.39	1585.74
2.033	155700.0	680.49	1675.53
2.0331	156400.0	697.6	1771.03
2.0332	156900.0	714.63	1869.98
2.0333	157500.0	731.78	1970.8
2.0334	157900.0	748.8	2078.36
2.0335	158300.0	765.58	2184.83
2.0336	158100.0	782.36	2294.83
2.0337	158200.0	799.47	2408.93
2.0338	158000.0	815.62	2523.06
2.0339	157700.0	830.98	2639.82
2.034	157600.0	846.06	2758.53
2.0341	157400.0	860.99	2876.66
2.0342	157100.0	875.23	2996.18
2.0343	156500.0	888.81	3112.5
2.0344	155900.0	902.82	3225.98
2.0345	155600.0	914.36	3334.32
2.0346	154600.0	923.94	3438.62
2.0347	153900.0	935.79	3540.14
2.0348	153100.0	957.28	3639.6
2.0349	152300.0	983.01	3733.8
2.035	151200.0	1011.58	3822.47
2.0351	150300.0	1045.51	3908.53
2.0352	149300.0	1080.35	3987.42
2.0353	147900.0	1116.61	4061.57
2.0354	146800.0	1154.0	4133.14
2.0355	145600.0	1191.35	4199.42
2.0356	144300.0	1228.76	4259.63
2.0357	142900.0	1264.7	4317.33
2.0358	141400.0	1299.86	4369.36
2.0359	139700.0	1335.02	4416.66
2.036	138300.0	1368.76	4459.53
2.0361	136700.0	1401.5	4498.46
2.0362	135100.0	1433.79	4532.93
2.0363	133500.0	1464.83	4561.16
2.0364	131600.0	1494.31	4586.11
2.0365	130000.0	1521.76	4605.69
2.0366	128000.0	1547.16	4620.96
2.0367	126200.0	1572.32	4634.99
2.0368	124500.0	1596.59	4644.81
2.0369	122600.0	1618.46	4648.49
2.037	120400.0	1639.61	4649.91
2.0371	118900.0	1659.94	4647.57
2.0372	116600.0	1677.67	4639.54
2.0373	114600.0	1694.0	4629.08
2.0374	112700.0	1709.53	4615.49
2.0375	110700.0	1725.25	4597.86
2.0376	108500.0	1739.61	4578.28
2.0377	106400.0	1755.22	4555.96
2.0378	104400.0	1771.28	4530.87
2.0379	102300.0	1782.94	4504.0
2.038	100200.0	1788.84	4474.74
2.0381	98060.0	1794.53	4442.35
2.0382	95710.0	1801.3	4407.52
2.0383	93720.0	1800.87	4370.62
2.0384	91400.0	1800.62	4331.63
2.0385	89440.0	1795.74	4290.83
2.0386	87160.0	1785.62	4247.29
2.0387	84770.0	1775.5	4201.46
2.0388	82530.0	1765.99	4153.93
