!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!RINGBUCKEL WINKEL:60бу
!BLECH MATERIAL:7075
!DATUM:        2019-12-20
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

ZEIT	PULS	TMEP_OG	TMEP_AP
2.0389	80350.0	1756.48	4104.8
2.039	78010.0	1746.52	4054.56
2.0391	76060.0	1735.97	4003.43
2.0392	73770.0	1726.05	3951.1
2.0393	71610.0	1715.71	3898.25
2.0394	69550.0	1705.62	3844.63
2.0395	67170.0	1695.4	3790.28
2.0396	65160.0	1685.0	3735.78
2.0397	62960.0	1674.19	3680.81
2.0398	60720.0	1663.1	3626.13
2.0399	58990.0	1651.62	3571.57
2.04	56500.0	1639.28	3516.85
2.0401	54540.0	1626.1	3462.47
2.0402	52360.0	1612.42	3408.39
2.0403	50450.0	1598.49	3354.91
2.0404	48460.0	1584.38	3301.71
2.0405	46160.0	1570.46	3249.14
2.0406	44200.0	1557.03	3197.25
2.0407	42020.0	1543.46	3146.06
2.0408	40250.0	1529.51	3095.91
2.0409	38360.0	1515.42	3046.58
2.041	36360.0	1501.24	2998.26
2.0411	34600.0	1487.07	2951.15
2.0412	32750.0	1472.91	2905.25
2.0413	30900.0	1458.78	2860.61
2.0414	28860.0	1444.72	2817.7
2.0415	27230.0	1430.82	2777.99
2.0416	25650.0	1417.06	2746.28
2.0417	23700.0	1403.46	2717.81
2.0418	21950.0	1390.13	2686.4
2.0419	20520.0	1377.17	2654.06
2.042	18740.0	1365.03	2621.58
2.0421	17190.0	1353.49	2589.24
2.0422	15600.0	1341.87	2557.32
2.0423	14080.0	1330.22	2525.9
2.0424	12520.0	1318.69	2495.12
2.0425	11030.0	1307.28	2465.04
2.0426	9609.0	1296.04	2435.77
2.0427	8349.0	1284.99	2407.33
2.0428	6931.0	1274.14	2379.77
2.0429	5500.0	1263.49	2353.13
2.043	4070.0	1253.07	2327.53
2.0431	2988.0	1242.89	2303.1
2.0432	1673.0	1232.94	2280.26
