!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!RINGBUCKEL WINKEL:60бу
!BLECH MATERIAL:5083
!DATUM:        2019-12-20
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

ZEIT	PULS	TMEP_OG	TMEP_AP
2.0389	80350.0	1549.34	4192.55
2.039	78010.0	1542.27	4136.22
2.0391	76060.0	1534.39	4079.15
2.0392	73770.0	1525.55	4020.91
2.0393	71610.0	1516.07	3961.9
2.0394	69550.0	1506.84	3902.07
2.0395	67170.0	1497.27	3841.63
2.0396	65160.0	1487.76	3780.84
2.0397	62960.0	1478.52	3719.74
2.0398	60720.0	1469.33	3658.81
2.0399	58990.0	1459.98	3598.38
2.04	56500.0	1450.41	3537.96
2.0401	54540.0	1440.65	3478.22
2.0402	52360.0	1430.56	3419.03
2.0403	50450.0	1420.31	3360.81
2.0404	48460.0	1409.71	3303.22
2.0405	46160.0	1398.8	3246.5
2.0406	44200.0	1387.68	3190.74
2.0407	42020.0	1376.51	3135.95
2.0408	40250.0	1365.68	3082.54
2.0409	38360.0	1355.02	3030.26
2.041	36360.0	1344.06	2979.34
2.0411	34600.0	1332.89	2929.99
2.0412	32750.0	1321.59	2882.38
2.0413	30900.0	1310.17	2836.4
2.0414	28860.0	1298.71	2792.66
2.0415	27230.0	1287.27	2756.15
2.0416	25650.0	1275.87	2725.87
2.0417	23700.0	1264.54	2694.46
2.0418	21950.0	1253.31	2661.17
2.0419	20520.0	1242.2	2627.58
2.042	18740.0	1231.21	2593.79
2.0421	17190.0	1220.38	2560.25
2.0422	15600.0	1209.71	2527.08
2.0423	14080.0	1199.23	2494.48
2.0424	12520.0	1188.99	2462.64
2.0425	11030.0	1179.05	2431.63
2.0426	9609.0	1169.66	2401.62
2.0427	8349.0	1160.87	2372.45
2.0428	6931.0	1152.2	2344.34
2.0429	5500.0	1143.51	2317.15
2.043	4070.0	1134.93	2291.42
2.0431	2988.0	1126.49	2268.25
2.0432	1673.0	1118.22	2248.77
