!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!RINGBUCKEL WINKEL:60бу
!BLECH MATERIAL:5083
!DATUM:        2019-12-20
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

ZEIT	PULS	TMEP_OG	TMEP_AP
[S]	[A]	[K]	[K]
2.029	100.0	298.0	298.01
2.0291	9586.0	298.34	303.34
2.0292	17640.0	299.1	312.71
2.0293	25510.0	300.21	324.9
2.0294	32500.0	301.76	341.47
2.0295	39420.0	303.75	361.33
2.0296	45790.0	306.21	385.34
2.0297	52140.0	309.16	412.96
2.0298	58010.0	312.55	443.99
2.0299	63440.0	316.46	479.81
2.03	69140.0	320.9	520.38
2.0301	74450.0	325.79	564.68
2.0302	79220.0	331.16	613.63
2.0303	84020.0	336.94	667.16
2.0304	88750.0	342.82	723.93
2.0305	93000.0	348.97	784.44
2.0306	97620.0	355.61	851.62
2.0307	101900.0	362.53	903.91
2.0308	105500.0	369.89	918.7
2.0309	109600.0	377.64	927.88
2.031	113000.0	385.76	941.98
2.0311	116600.0	394.34	946.0
2.0312	120000.0	403.29	947.72
2.0313	123100.0	412.62	944.12
2.0314	126100.0	422.32	946.36
2.0315	128900.0	432.39	938.17
2.0316	131500.0	442.92	938.94
2.0317	134300.0	453.81	951.52
2.0318	136600.0	464.98	970.57
2.0319	138700.0	476.6	998.75
2.032	141000.0	488.64	1033.09
2.0321	143100.0	500.94	1075.08
2.0322	144700.0	513.69	1136.26
2.0323	146800.0	526.84	1203.27
2.0324	148400.0	540.25	1267.76
2.0325	149800.0	554.1	1335.85
2.0326	151200.0	568.47	1416.69
2.0327	152500.0	583.22	1504.48
2.0328	153700.0	598.41	1595.97
2.0329	154900.0	613.89	1693.4
2.033	155700.0	629.55	1793.49
2.0331	156400.0	645.39	1896.83
2.0332	156900.0	661.5	2006.05
2.0333	157500.0	677.86	2118.8
2.0334	157900.0	694.42	2235.47
2.0335	158300.0	710.99	2353.14
2.0336	158100.0	727.64	2472.55
2.0337	158200.0	744.26	2597.24
2.0338	158000.0	760.72	2720.46
2.0339	157700.0	777.15	2847.12
2.034	157600.0	793.56	2978.03
2.0341	157400.0	809.67	3104.47
2.0342	157100.0	824.44	3225.44
2.0343	156500.0	838.52	3341.83
2.0344	155900.0	853.14	3454.86
2.0345	155600.0	867.59	3563.1
2.0346	154600.0	881.82	3665.86
2.0347	153900.0	895.44	3766.45
2.0348	153100.0	906.91	3863.76
2.0349	152300.0	916.19	3954.56
2.035	151200.0	925.88	4039.13
2.0351	150300.0	938.09	4122.61
2.0352	149300.0	956.2	4196.12
2.0353	147900.0	978.0	4263.99
2.0354	146800.0	1001.95	4333.17
2.0355	145600.0	1028.97	4399.34
2.0356	144300.0	1058.7	4459.86
2.0357	142900.0	1090.39	4513.94
2.0358	141400.0	1122.83	4560.72
2.0359	139700.0	1156.31	4602.96
2.036	138300.0	1188.87	4644.29
2.0361	136700.0	1220.51	4680.31
2.0362	135100.0	1251.51	4711.25
2.0363	133500.0	1280.47	4738.04
2.0364	131600.0	1308.3	4759.46
2.0365	130000.0	1335.34	4775.39
2.0366	128000.0	1360.99	4787.52
2.0367	126200.0	1385.32	4799.64
2.0368	124500.0	1408.4	4807.66
2.0369	122600.0	1429.52	4810.64
2.037	120400.0	1449.86	4811.19
2.0371	118900.0	1468.81	4807.23
2.0372	116600.0	1485.37	4798.58
2.0373	114600.0	1500.34	4788.32
2.0374	112700.0	1513.72	4774.69
2.0375	110700.0	1525.55	4756.5
2.0376	108500.0	1536.04	4734.75
2.0377	106400.0	1545.19	4710.05
2.0378	104400.0	1552.94	4681.88
2.0379	102300.0	1559.53	4651.46
2.038	100200.0	1565.45	4618.26
2.0381	98060.0	1569.79	4581.15
2.0382	95710.0	1572.15	4540.61
2.0383	93720.0	1572.61	4497.5
2.0384	91400.0	1571.55	4451.97
2.0385	89440.0	1569.18	4404.32
2.0386	87160.0	1565.25	4354.18
2.0387	84770.0	1560.71	4301.86
2.0388	82530.0	1555.54	4248.0
