x,SD
0.00600176,2170930093.8
0.00600176,2166802721.7
0.00601041,2487744827.4
0.00603515,2113309299.4
0.00606033,2018695403.2
0.00608372,1966999077.7
0.00610757,1958953649.7
0.00613224,1967432829.3
0.00615683,1986645142.3
0.00618178,2016520687.5
0.00620728,2056930516.4
0.00623339,2108344216.1
0.00626014,2171723076.1
0.00628761,2248527759.3
0.00631537,2340777821.6
0.0063435,2454135731.1
0.00637211,2598247037.3
0.00640086,2790338676.9
0.00643024,3075845843.4
0.00646024,3489197654.3
0.00649153,4656303336.2
0.00652602,4808690277.1
0.00656982,3487613855.3
0.00661912,2216380413.4
0.00666747,2914504031.5
0.00672284,2280761893.9
0.00677414,2605413807.8
0.00683987,3370668271.6
0.00692918,2695859989.2
0.0069903,2589580678.4
0.00705151,2571674828.9
0.00711192,2564954656.5
0.00717342,2609901827.4
0.0072346,2643421236.9
0.0072919,2397562771.9
0.00737463,3383280974.6
0.00744128,2825362935.0
0.00748709,3246735436.1
0.00753843,4063486344.2
0.00758823,5001734567.4
0.00762637,4530788956.9
0.00765654,3591690630.5
0.00768482,3145942410.3
0.007712,2852816159.3
0.00773799,2656474867.5
0.00776281,2515450612.5
0.00778664,2407750653.1
0.00780964,2322947456.5
0.00783193,2254131157.6
0.00785366,2196982569.6
0.00787493,2149063668.5
0.00789586,2108810311.3
0.00791651,2075267573.4
0.00793661,2048944563.6
0.00795615,2030961343.7
0.00797566,2023427454.0
0.00799566,2030045548.7
0.00801598,2051318947.7
0.00803328,2103315818.9
0.00803691,2579570706.7
0.00803691,2297675486.2
0.00804652,2203910933.3
0.0080504,2652027593.8
